"ID";"Geslacht";"Leeftijd";"Migratieachtergrond";"Generatie";"Perioden";"TotaalVerdachtenVanMisdrijven_1"
"14997";"T001038";"53105";"2012605";"T001040";"2020JJ00";"19170"
"14998";"T001038";"53105";"2012605";"T001040";"2021JJ00";"17450"
"14999";"T001038";"53105";"2012605";"T001040";"2022JJ00";"19160"
"15013";"T001038";"53105";"2012605";"2013356";"2012JJ00";"8100"
"15014";"T001038";"53105";"2012605";"2013356";"2013JJ00";"7240"
"15015";"T001038";"53105";"2012605";"2013356";"2014JJ00";"6360"
"15016";"T001038";"53105";"2012605";"2013356";"2015JJ00";"5630"
"15017";"T001038";"53105";"2012605";"2013356";"2016JJ00";"5150"
"15018";"T001038";"53105";"2012605";"2013356";"2017JJ00";"4890"
"15019";"T001038";"53105";"2012605";"2013356";"2018JJ00";"5530"
"15020";"T001038";"53105";"2012605";"2013356";"2019JJ00";"5760"
"15021";"T001038";"53105";"2012605";"2013356";"2020JJ00";"5410"
"15022";"T001038";"53105";"2012605";"2013356";"2021JJ00";"4830"
"15023";"T001038";"53105";"2012605";"2013356";"2022JJ00";"5550"
"15037";"T001038";"53105";"2012605";"2013357";"2012JJ00";"16210"
"15038";"T001038";"53105";"2012605";"2013357";"2013JJ00";"15320"
"15039";"T001038";"53105";"2012605";"2013357";"2014JJ00";"14200"
"15040";"T001038";"53105";"2012605";"2013357";"2015JJ00";"12940"
"15041";"T001038";"53105";"2012605";"2013357";"2016JJ00";"11940"
"15042";"T001038";"53105";"2012605";"2013357";"2017JJ00";"10970"
"15043";"T001038";"53105";"2012605";"2013357";"2018JJ00";"10690"
"15044";"T001038";"53105";"2012605";"2013357";"2019JJ00";"11250"
"15045";"T001038";"53105";"2012605";"2013357";"2020JJ00";"11350"
"15046";"T001038";"53105";"2012605";"2013357";"2021JJ00";"10260"
"15047";"T001038";"53105";"2012605";"2013357";"2022JJ00";"9990"
"15061";"T001038";"53105";"2012605";"2820719";"2012JJ00";"5030"
"15062";"T001038";"53105";"2012605";"2820719";"2013JJ00";"4630"
"15063";"T001038";"53105";"2012605";"2820719";"2014JJ00";"4170"
"15064";"T001038";"53105";"2012605";"2820719";"2015JJ00";"3730"
"15065";"T001038";"53105";"2012605";"2820719";"2016JJ00";"3610"
"15066";"T001038";"53105";"2012605";"2820719";"2017JJ00";"3330"
"15067";"T001038";"53105";"2012605";"2820719";"2018JJ00";"2600"
"15068";"T001038";"53105";"2012605";"2820719";"2019JJ00";"2460"
